,unique_key,created_date,closed_date,agency,agency_name,complaint_type,descriptor,descriptor_2,location_type,incident_zip,incident_address,street_name,cross_street_1,cross_street_2,intersection_street_1,intersection_street_2,address_type,city,landmark,facility_type,status,due_date,resolution_description,resolution_action_updated_date,community_board,council_district,police_precinct,bbl,borough,x_coordinate_state_plane,y_coordinate_state_plane,open_data_channel_type,park_facility_name,park_borough,vehicle_type,taxi_company_borough,taxi_pick_up_location,bridge_highway_name,bridge_highway_direction,road_ramp,bridge_highway_segment,latitude,longitude,location
10,69400236,2026-06-18T02:02:32.000,,NYPD,New York City Police Department,Blocked Driveway,No Access,,Street/Sidewalk,10033.0,BROADWAY,BROADWAY,BROADWAY,WEST 185 STREET,BROADWAY,WEST 185 STREET,INTERSECTION,,,,In Progress,,,,12 MANHATTAN,10.0,Precinct 34,,MANHATTAN,1002390.0,249956.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.85272778819471,-73.93442873681404,POINT (-73.934428736814 40.852727788195)
11,69390651,2026-06-18T02:00:04.000,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,,Street/Sidewalk,11370.0,31-18 81 STREET,81 STREET,31 AVENUE,32 AVENUE,31 AVENUE,32 AVENUE,ADDRESS,EAST ELMHURST,81 STREET,,In Progress,,,,03 QUEENS,25.0,Precinct 115,4011510017.0,QUEENS,1015584.0,215713.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.75870331161867,-73.88689580859412,POINT (-73.886895808594 40.758703311619)
12,69396369,2026-06-18T01:59:37.000,,NYPD,New York City Police Department,Noise - Residential,Loud Talking,,Residential Building/House,10037.0,45 WEST 139 STREET,WEST 139 STREET,5 AVENUE,LENOX AVENUE,5 AVENUE,LENOX AVENUE,ADDRESS,NEW YORK,WEST 139 STREET,,In Progress,,,,10 MANHATTAN,9.0,Precinct 32,1017370015.0,MANHATTAN,1001521.0,236610.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.81609862157977,-73.9376043020565,POINT (-73.937604302056 40.81609862158)
13,69397699,2026-06-18T01:59:37.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,10457.0,2257 BASSFORD AVENUE,BASSFORD AVENUE,FLETCHER PLACE,EAST 183 STREET,FLETCHER PLACE,EAST 183 STREET,ADDRESS,BRONX,BASSFORD AVENUE,,In Progress,,,,06 BRONX,15.0,Precinct 48,2030500031.0,BRONX,1013844.0,250576.0,ONLINE,Unspecified,BRONX,,,,,,,,40.854398539925,-73.8930228771263,POINT (-73.893022877126 40.854398539925)
14,69398988,2026-06-18T01:58:26.000,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,,Street/Sidewalk,11370.0,31-47 81 STREET,81 STREET,31 AVENUE,32 AVENUE,31 AVENUE,32 AVENUE,ADDRESS,EAST ELMHURST,81 STREET,,In Progress,,,,03 QUEENS,25.0,Precinct 115,4011520033.0,QUEENS,1015605.0,215601.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.75839582606734,-73.88682052876389,POINT (-73.886820528764 40.758395826067)
15,69400381,2026-06-18T01:58:04.000,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,,Residential Building/House,10032.0,571 WEST 161 STREET,WEST 161 STREET,AMSTERDAM AVENUE,BROADWAY,AMSTERDAM AVENUE,BROADWAY,ADDRESS,NEW YORK,WEST 161 STREET,,In Progress,,,,12 MANHATTAN,10.0,Precinct 33,1021200065.0,MANHATTAN,1000303.0,243903.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.83611812300418,-73.94198717339583,POINT (-73.941987173396 40.836118123004)
16,69390718,2026-06-18T01:57:44.000,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Talking,,Street/Sidewalk,11209.0,7000 LOUISE TERRACE,LOUISE TERRACE,70 STREET,MACKAY PLACE,70 STREET,MACKAY PLACE,ADDRESS,BROOKLYN,LOUISE TERRACE,,In Progress,,,,10 BROOKLYN,47.0,Precinct 68,,BROOKLYN,975310.0,171267.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.636760427216856,-74.03221112704014,POINT (-74.03221112704 40.636760427217)
17,69394716,2026-06-18T01:56:41.000,,DOT,Department of Transportation,Street Condition,Pothole,,,11412.0,,,,,FRANCIS LEWIS BOULEVARD,LINDEN BOULEVARD,INTERSECTION,QUEENS,,,Open,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,2026-06-18T01:56:41.000,12 QUEENS,27.0,Precinct 113,,QUEENS,1054633.0,192994.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.696120836693545,-73.74618150170096,POINT (-73.746181501701 40.696120836694)
18,69390701,2026-06-18T01:56:35.000,,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,11221.0,568 EVERGREEN AVENUE,EVERGREEN AVENUE,PUTNAM AVENUE,CORNELIA STREET,PUTNAM AVENUE,CORNELIA STREET,ADDRESS,BROOKLYN,EVERGREEN AVENUE,,In Progress,,,,04 BROOKLYN,37.0,Precinct 83,3033740032.0,BROOKLYN,1007568.0,190863.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.69052090026569,-73.91591669439788,POINT (-73.915916694398 40.690520900266)
19,69400355,2026-06-18T01:56:16.000,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,,Street/Sidewalk,11370.0,31-42 81 STREET,81 STREET,31 AVENUE,32 AVENUE,31 AVENUE,32 AVENUE,ADDRESS,EAST ELMHURST,81 STREET,,In Progress,,,,03 QUEENS,25.0,Precinct 115,4011510027.0,QUEENS,1015597.0,215616.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.75843702556503,-73.88684933571109,POINT (-73.886849335711 40.758437025565)
20,69393631,2026-06-18T01:56:05.000,,NYPD,New York City Police Department,Illegal Parking,Parking Permit Improper Use,Parked In 'No Standing' Area,Street/Sidewalk,10001.0,450 WEST 30 STREET,WEST 30 STREET,LINCOLN TUNNEL EXIT 9 AVENUE,HIGH LINE,LINCOLN TUNNEL EXIT 9 AVENUE,HIGH LINE,ADDRESS,NEW YORK,WEST 30 STREET,,In Progress,,,,04 MANHATTAN,3.0,Precinct 10,1007270001.0,MANHATTAN,984421.0,213031.0,MOBILE,Unspecified,MANHATTAN,,,,,,,,40.75139742549248,-73.99938282089066,POINT (-73.999382820891 40.751397425492)
21,69393350,2026-06-18T01:55:47.000,,DOT,Department of Transportation,Street Condition,Pothole,,,11434.0,119 DRIVE,119 DRIVE,LONG STREET,GUY R BREWER BOULEVARD,,,BLOCKFACE,QUEENS,,,Open,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,2026-06-18T01:55:47.000,12 QUEENS,,Precinct 113,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,,,,
22,69392071,2026-06-18T01:55:36.000,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,,Street/Sidewalk,11218.0,519 STRATFORD ROAD,STRATFORD ROAD,DORCHESTER ROAD,DITMAS AVENUE,DORCHESTER ROAD,DITMAS AVENUE,ADDRESS,BROOKLYN,STRATFORD ROAD,,In Progress,,,,14 BROOKLYN,40.0,Precinct 70,3051750048.0,BROOKLYN,993353.0,170963.0,MOBILE,Unspecified,BROOKLYN,,,,,,,,40.63592584599324,-73.9672019885249,POINT (-73.967201988525 40.635925845993)
23,69400352,2026-06-18T01:55:36.000,,NYPD,New York City Police Department,Illegal Parking,Blocked Hydrant,,Street/Sidewalk,11419.0,120-14 ATLANTIC AVENUE,ATLANTIC AVENUE,120 STREET,121 STREET,120 STREET,121 STREET,ADDRESS,SOUTH RICHMOND HILL,ATLANTIC AVENUE,,In Progress,,,,09 QUEENS,29.0,Precinct 102,4094380006.0,QUEENS,1032303.0,192301.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.69436813769891,-73.82671368709654,POINT (-73.826713687097 40.694368137699)
24,69398996,2026-06-18T01:55:22.000,,NYPD,New York City Police Department,Illegal Parking,Commercial Overnight Parking,,Street/Sidewalk,11434.0,145-72 159 STREET,159 STREET,145 ROAD,146 AVENUE,145 ROAD,146 AVENUE,ADDRESS,JAMAICA,159 STREET,,In Progress,,"Your complaint has been received by the New York City Police Department and assigned to a unit at your local precinct. The responding officers will conduct an assessment of the complaint and may contact you for further information, if you left contact information. Our team is committed to resolving this matter promptly, and we appreciate your contribution to maintaining the well-being of our community.",2026-06-18T02:03:38.000,13 QUEENS,31.0,Unspecified,4150150355.0,QUEENS,1045312.0,180950.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.66313211415037,-73.77990431030963,POINT (-73.77990431031 40.66313211415)
25,69398044,2026-06-18T01:54:41.000,,DOHMH,Department of Health and Mental Hygiene,Smoking or Vaping,Allowed in Smoke Free Area,Cannabis Smoking or Vaping,Other,10304.0,433 HANOVER AVENUE,HANOVER AVENUE,PIERCE STREET,NARROWS ROAD NORTH,PIERCE STREET,NARROWS ROAD NORTH,ADDRESS,STATEN ISLAND,HANOVER AVENUE,,In Progress,,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2026-06-18T01:54:48.000,01 STATEN ISLAND,49.0,Precinct 120,5029120029.0,STATEN ISLAND,960490.0,160856.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.60815706467959,-74.08557142895671,POINT (-74.085571428957 40.60815706468)
26,69395663,2026-06-18T01:54:30.000,2026-06-18T02:05:41.000,NYPD,New York City Police Department,Blocked Driveway,No Access,,Street/Sidewalk,11230.0,1054 EAST 14 STREET,EAST 14 STREET,AVENUE J,AVENUE K,AVENUE J,AVENUE K,ADDRESS,BROOKLYN,EAST 14 STREET,,Closed,,"The New York City Police Department responded to the complaint and their investigation determined that no criminal violation existed. The condition was corrected without the need to issue a summons or effect an arrest. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). Thank you for your attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2026-06-18T02:05:45.000,14 BROOKLYN,44.0,Precinct 70,3067150028.0,BROOKLYN,994775.0,166545.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.62379779392054,-73.96208542812172,POINT (-73.962085428122 40.623797793921)
27,69398806,2026-06-18T01:53:37.000,,DOT,Department of Transportation,Street Condition,Pothole,,,11434.0,,,,,FOCH BOULEVARD,GUY R BREWER BOULEVARD,INTERSECTION,QUEENS,,,Open,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,2026-06-18T01:53:37.000,12 QUEENS,28.0,Precinct 113,,QUEENS,1044430.0,188652.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.68427834731682,-73.78301466566052,POINT (-73.783014665661 40.684278347317)
28,69400244,2026-06-18T01:52:45.000,,NYPD,New York City Police Department,Blocked Driveway,Partial Access,,Street/Sidewalk,11208.0,76 HILL STREET,HILL STREET,CRESCENT STREET,AUTUMN AVENUE,CRESCENT STREET,AUTUMN AVENUE,ADDRESS,BROOKLYN,HILL STREET,,In Progress,,,,05 BROOKLYN,37.0,Precinct 75,3041710006.0,BROOKLYN,1020220.0,186658.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.678936771331415,-73.87031684624951,POINT (-73.87031684625 40.678936771331)
29,69393351,2026-06-18T01:51:18.000,,DOT,Department of Transportation,Street Condition,Pothole,,,11411.0,223 STREET,223 STREET,116 AVENUE,LINDEN BOULEVARD,,,BLOCKFACE,QUEENS,,,Open,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,2026-06-18T01:51:18.000,13 QUEENS,,Precinct 105,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,,,,
30,69400173,2026-06-18T01:50:41.000,,DOT,Department of Transportation,Street Condition,Pothole,,,11434.0,FARMERS BOULEVARD,FARMERS BOULEVARD,LONG ISLAND RAILROAD,MARS PLACE,,,BLOCKFACE,QUEENS,,,Open,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,2026-06-18T01:50:41.000,12 QUEENS,,Unspecified,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,,,,
31,69391414,2026-06-18T01:50:23.000,2026-06-18T02:06:02.000,NYPD,New York City Police Department,Blocked Driveway,No Access,,Street/Sidewalk,11230.0,1054 EAST 14 STREET,EAST 14 STREET,AVENUE J,AVENUE K,AVENUE J,AVENUE K,ADDRESS,BROOKLYN,EAST 14 STREET,,Closed,,"The New York City Police Department responded to the complaint and their investigation determined that no criminal violation existed. The condition was corrected without the need to issue a summons or effect an arrest. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). Thank you for your attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2026-06-18T02:06:05.000,14 BROOKLYN,44.0,Precinct 70,3067150028.0,BROOKLYN,994775.0,166545.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.62379779392054,-73.96208542812172,POINT (-73.962085428122 40.623797793921)
32,69400588,2026-06-18T01:49:37.000,2026-06-18T01:55:21.000,NYPD,New York City Police Department,Illegal Parking,Paper License Plates,,Street/Sidewalk,11417.0,94-61 133 AVENUE,133 AVENUE,CROSS BAY BOULEVARD,96 STREET,CROSS BAY BOULEVARD,96 STREET,ADDRESS,OZONE PARK,133 AVENUE,,Closed,,"The New York City Police Department responded to the complaint and their investigation determined that no criminal violation existed. The condition was corrected without the need to issue a summons or effect an arrest. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). Thank you for your attention to this matter. We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2026-06-18T01:55:25.000,10 QUEENS,32.0,Precinct 106,4114880029.0,QUEENS,1028113.0,185491.0,MOBILE,Unspecified,QUEENS,,,,,,,,40.67569803307279,-73.84186775237531,POINT (-73.841867752375 40.675698033073)
33,69392133,2026-06-18T01:49:29.000,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,,Street/Sidewalk,11215.0,375 5 AVENUE,5 AVENUE,5 STREET,6 STREET,5 STREET,6 STREET,ADDRESS,BROOKLYN,5 AVENUE,,In Progress,,,,06 BROOKLYN,39.0,Precinct 78,3009880002.0,BROOKLYN,988512.0,183798.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.671158771351685,-73.98463594810352,POINT (-73.984635948104 40.671158771352)
34,69390691,2026-06-18T01:48:32.000,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,,Residential Building/House,10457.0,248 ECHO PLACE,ECHO PLACE,GRAND CONCOURSE,ANTHONY AVENUE,GRAND CONCOURSE,ANTHONY AVENUE,ADDRESS,BRONX,ECHO PLACE,,In Progress,,,,05 BRONX,15.0,Precinct 46,2028090026.0,BRONX,1010741.0,248838.0,MOBILE,Unspecified,BRONX,,,,,,,,40.84963810445692,-73.90424653632104,POINT (-73.904246536321 40.849638104457)
35,69394983,2026-06-18T01:48:11.000,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,,Street/Sidewalk,11208.0,2535 LINDEN BOULEVARD,LINDEN BOULEVARD,HOLLY STREET,EUCLID AVENUE,HOLLY STREET,EUCLID AVENUE,ADDRESS,BROOKLYN,LINDEN BOULEVARD,,In Progress,,,,05 BROOKLYN,42.0,Precinct 75,3042920061.0,BROOKLYN,1020147.0,182511.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.667554496309,-73.87060211963214,POINT (-73.870602119632 40.667554496309)
36,69399383,2026-06-18T01:48:11.000,,DOHMH,Department of Health and Mental Hygiene,Smoking or Vaping,Allowed in Smoke Free Area,Tobacco or Hookah Smoking or Vaping,Residential Building,10036.0,340 WEST 47 STREET,WEST 47 STREET,8 AVENUE,9 AVENUE,8 AVENUE,9 AVENUE,ADDRESS,NEW YORK,WEST 47 STREET,,In Progress,,"The Department of Health and Mental Hygiene has sent official written notification to the Owner/Landlord warning them of potential violations and instructing them to correct the situation. If the situation persists 21 days after your initial complaint, please make a new complaint.",2026-06-18T01:48:18.000,04 MANHATTAN,3.0,Precinct 18,1010370054.0,MANHATTAN,987376.0,216501.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.760921140478935,-73.98871591951574,POINT (-73.988715919516 40.760921140479)
37,69400174,2026-06-18T01:48:03.000,,DOT,Department of Transportation,Street Condition,Pothole,,,11423.0,197 STREET,197 STREET,DUNTON AVENUE,FOOTHILL AVENUE,,,BLOCKFACE,QUEENS,,,Open,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,2026-06-18T01:48:03.000,08 QUEENS,,Precinct 107,,QUEENS,,,UNKNOWN,Unspecified,QUEENS,,,,,,,,,,
38,69389947,2026-06-18T01:47:52.000,2026-06-18T02:04:32.000,NYPD,New York City Police Department,Illegal Parking,Posted Parking Sign Violation,,Street/Sidewalk,11436.0,142-32 119 ROAD,119 ROAD,142 PLACE,143 STREET,142 PLACE,143 STREET,ADDRESS,JAMAICA,119 ROAD,,Closed,,"The New York City Police Department responded to the complaint and with the information available observed no evidence of a criminal violation at that time. If the problem persists, please contact 311 to create another complaint. If possible, provide contact information so responding officers may reach out to you for more details. If necessary, your complaint may be referred to your local precinct's special operations units (Quality of Life, etc.). We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2026-06-18T02:04:35.000,12 QUEENS,28.0,Precinct 113,4120160261.0,QUEENS,1040367.0,186041.0,PHONE,Unspecified,QUEENS,,,,,,,,40.67713845610617,-73.79768592953259,POINT (-73.797685929533 40.677138456106)
39,69393352,2026-06-18T01:47:23.000,,DOT,Department of Transportation,Street Condition,Pothole,,,11434.0,,,,,BELKNAP STREET,MERRICK BOULEVARD,INTERSECTION,QUEENS,,,Open,,The Department of Transportation referred this complaint to the appropriate Maintenance Unit for repair.,2026-06-18T01:47:23.000,12 QUEENS,27.0,Unspecified,,QUEENS,1050863.0,186735.0,UNKNOWN,Unspecified,QUEENS,,,,,,,,40.6789705621564,-73.75983886670711,POINT (-73.759838866707 40.678970562156)
40,69392333,2026-06-18T01:47:19.000,,DSNY,Department of Sanitation,Litter Basket Request,New Basket,,Sidewalk,11215.0,4 AVENUE,4 AVENUE,4 AVENUE,CARROLL STREET,4 AVENUE,CARROLL STREET,INTERSECTION,,,,In Progress,,,,06 BROOKLYN,39.0,Precinct 78,,BROOKLYN,988716.0,185616.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.67614867223174,-73.98389934545648,POINT (-73.983899345456 40.676148672232)
41,69392128,2026-06-18T01:47:17.000,,NYPD,New York City Police Department,Noise - Street/Sidewalk,Loud Music/Party,,Street/Sidewalk,10457.0,2039 WASHINGTON AVENUE,WASHINGTON AVENUE,EAST 179 STREET,EAST 180 STREET,EAST 179 STREET,EAST 180 STREET,ADDRESS,BRONX,WASHINGTON AVENUE,,In Progress,,,,06 BRONX,15.0,Precinct 48,2030360052.0,BRONX,1012943.0,249051.0,PHONE,Unspecified,BRONX,,,,,,,,40.85021584487267,-73.89628635794205,POINT (-73.896286357942 40.850215844873)
42,69400242,2026-06-18T01:47:12.000,,NYPD,New York City Police Department,Blocked Driveway,Partial Access,,Street/Sidewalk,11368.0,102-49 46 AVENUE,46 AVENUE,102 STREET,104 STREET,102 STREET,104 STREET,ADDRESS,CORONA,46 AVENUE,,In Progress,,,,04 QUEENS,21.0,Precinct 110,4019800037.0,QUEENS,1022565.0,211042.0,PHONE,Unspecified,QUEENS,,,,,,,,40.74585511893329,-73.8617236248109,POINT (-73.861723624811 40.745855118933)
43,69392115,2026-06-18T01:46:20.000,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,,Residential Building/House,11355.0,43-32 COLDEN STREET,COLDEN STREET,CHERRY AVENUE,ELDER AVENUE,CHERRY AVENUE,ELDER AVENUE,ADDRESS,FLUSHING,COLDEN STREET,,In Progress,,,,07 QUEENS,20.0,Precinct 109,4051410016.0,QUEENS,1032795.0,213417.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.7523236417,-73.82478715544073,POINT (-73.824787155441 40.7523236417)
44,69398547,2026-06-18T01:46:20.000,2026-06-18T02:03:17.000,NYPD,New York City Police Department,Noise - Residential,Loud Music/Party,,Residential Building/House,10466.0,655 EAST 233 STREET,EAST 233 STREET,CARPENTER AVENUE,WHITE PLAINS ROAD,CARPENTER AVENUE,WHITE PLAINS ROAD,ADDRESS,BRONX,EAST 233 STREET,,Closed,,"The New York City Police Department responded to the complaint but officers were unable to gain entry into the premises. If the problem persists, please contact 311 to create another complaint and ensure that contact information (e.g., buzzer number, phone number, etc.) is available to assist the responding officers in gaining entry to properly investigate the complaint.  We count on New Yorkers like yourself to maintain a safe City, so please let us know if you see other conditions that require our attention.",2026-06-18T02:03:23.000,12 BRONX,11.0,Precinct 47,2049940023.0,BRONX,1023223.0,264993.0,PHONE,Unspecified,BRONX,,,,,,,,40.893932298173176,-73.8590356224967,POINT (-73.859035622497 40.893932298173)
45,69390696,2026-06-18T01:44:23.000,,NYPD,New York City Police Department,Noise - Residential,Banging/Pounding,,Residential Building/House,11226.0,275 LINDEN BOULEVARD,LINDEN BOULEVARD,NOSTRAND AVENUE,NEW YORK AVENUE,NOSTRAND AVENUE,NEW YORK AVENUE,ADDRESS,BROOKLYN,LINDEN BOULEVARD,,In Progress,,,,17 BROOKLYN,40.0,Precinct 67,3048530093.0,BROOKLYN,998478.0,177079.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.65270619634423,-73.9487237728878,POINT (-73.948723772888 40.652706196344)
